Year,Month,Date
1961,01,02
1961,01,31
1961,03,02
1961,04,01
1961,04,30
1961,05,30
1961,06,28
1961,07,27
1961,08,26
1961,09,24
1961,10,23
1961,11,22
1961,12,22
1962,01,20
1962,02,19
1962,03,21
1962,04,20
1962,05,19
1962,06,18
1962,07,17
1962,08,15
1962,09,14
1962,10,13
1962,11,11
1962,12,11
1963,01,10
1963,02,08
1963,03,10
1963,04,09
1963,05,08
1963,06,07
1963,07,06
1963,08,05
1963,09,03
1963,10,03
1963,11,01
1963,12,01
1963,12,30
1964,01,29
1964,02,27
1964,03,28
1964,04,26
1964,05,26
1964,06,25
1964,07,24
1964,08,23
1964,09,21
1964,10,21
1964,11,19
1964,12,19
1965,01,17
1965,02,16
1965,03,17
1965,04,16
1965,05,15
1965,06,14
1965,07,13
1965,08,12
1965,09,11
1965,10,10
1965,11,09
1965,12,08
1966,01,07
1966,02,05
1966,03,07
1966,04,05
1966,05,04
1966,06,03
1966,07,02
1966,08,01
1966,08,31
1966,09,29
1966,10,29
1966,11,28
1966,12,27
1967,01,26
1967,02,24
1967,03,26
1967,04,24
1967,05,23
1967,06,22
1967,07,21
1967,08,20
1967,09,18
1967,10,18
1967,11,17
1967,12,17
1968,01,15
1968,02,14
1968,03,14
1968,04,13
1968,05,12
1968,06,10
1968,07,10
1968,08,08
1968,09,06
1968,10,06
1968,11,05
1968,12,05
1969,01,03
1969,02,02
1969,03,04
1969,04,02
1969,05,02
1969,05,31
1969,06,29
1969,07,29
1969,08,27
1969,09,25
1969,10,25
1969,11,24
1969,12,23
1970,01,22
1970,02,21
1970,03,23
1970,04,21
1970,05,21
1970,06,19
1970,07,18
1970,08,17
1970,09,15
1970,10,14
1970,11,13
1970,12,12
1971,01,11
1971,02,10
1971,03,12
1971,04,10
1971,05,10
1971,06,09
1971,07,08
1971,08,06
1971,09,05
1971,10,04
1971,11,02
1971,12,02
1971,12,31
1972,01,30
1972,02,29
1972,03,29
1972,04,28
1972,05,28
1972,06,26
1972,07,26
1972,08,24
1972,09,23
1972,10,22
1972,11,21
1972,12,20
1973,01,18
1973,02,17
1973,03,19
1973,04,17
1973,05,17
1973,06,15
1973,07,15
1973,08,14
1973,09,12
1973,10,12
1973,11,10
1973,12,10
1974,01,08
1974,02,07
1974,03,08
1974,04,06
1974,05,06
1974,06,04
1974,07,04
1974,08,03
1974,09,01
1974,10,01
1974,10,31
1974,11,29
1974,12,29
1975,01,27
1975,02,26
1975,03,27
1975,04,25
1975,05,25
1975,06,23
1975,07,23
1975,08,21
1975,09,20
1975,10,20
1975,11,18
1975,12,18
1976,01,17
1976,02,15
1976,03,16
1976,04,14
1976,05,13
1976,06,12
1976,07,11
1976,08,10
1976,09,08
1976,10,08
1976,11,07
1976,12,06
1977,01,05
1977,02,04
1977,03,05
1977,04,04
1977,05,03
1977,06,01
1977,07,01
1977,07,30
1977,08,28
1977,09,27
1977,10,27
1977,11,25
1977,12,25
1978,01,24
1978,02,23
1978,03,24
1978,04,23
1978,05,22
1978,06,20
1978,07,20
1978,08,18
1978,09,16
1978,10,16
1978,11,14
1978,12,14
1979,01,13
1979,02,12
1979,03,13
1979,04,12
1979,05,12
1979,06,10
1979,07,09
1979,08,08
1979,09,06
